code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42081,Lycoming,42,1228.9185588,92.7758794,41.5,0,0,0,0,0,0,0,0,117043,116376,116335,116447,116604,116676,116656,116313,115398,114859,114330,114014
42083,McKean,42,979.6933127,41.8712667,43.6,0,0,0,0,0,0,0,0,43622,43853,43642,43451,43294,43024,42884,42609,42070,41806,41401,41021
42085,Mercer,42,672.5198676,164.3356655,45,0,0,0,0,0,0,0,0,117098,117296,116939,116474,116059,115739,115320,114598,113623,112630,111518,110519
42087,Mifflin,42,411.0449284,112.3453832,44,0,0,0,0,0,0,0,0,45961,46583,46671,46694,46698,46705,46675,46585,46452,46362,46276,46179
42089,Monroe,42,608.355484,277.5087994,43.3,0,0,0,0,0,0,0,0,163925,168080,169050,169346,168947,168342,167881,167126,167306,167586,168032,168824
42091,Montgomery,42,482.9705844,1712.6922977,41.3,0,0,0,0,0,0,0,0,776306,790497,794921,799886,804621,809372,812970,815876,818677,821301,823823,827180
42093,Montour,42,130.2408724,139.572161,43.4,0,0,0,0,0,0,0,0,17776,18152,18193,18243,18379,18475,18508,18404,18302,18294,18259,18178
42095,Northampton,42,369.7873938,822.724098,42.2,0,0,0,0,0,0,0,0,293610,294536,296323,297519,298439,299225,299616,300520,300941,301778,302809,304233
42097,Northumberland,42,457.6636605,199.3472672,44.5,0,0,0,0,0,0,0,0,91286,94099,94321,94441,94444,94294,94006,93590,93038,92325,91761,91234
42099,Perry,42,551.4490627,83.6577721,43.4,0,0,0,0,0,0,0,0,45048,45599,45785,45791,45808,45788,45677,45647,45878,45924,46053,46133
42101,Philadelphia,42,134.3563624,11771.1656671,34.6,0,0,0,0,0,0,0,0,1531112,1504950,1514456,1525811,1536704,1546920,1555072,1559938,1569657,1575522,1579075,1581531
42103,Pike,42,544.8950135,102.1481178,48.6,0,0,0,0,0,0,0,0,58335,56993,57242,57437,57179,56883,56632,56210,55687,55498,55453,55660
42105,Potter,42,1081.2484867,15.4312355,47.4,0,0,0,0,0,0,0,0,17142,17583,17487,17466,17487,17451,17377,17239,17070,16937,16806,16685
42107,Schuylkill,42,778.5782605,182.3002352,44.3,0,0,0,0,0,0,0,0,146870,148288,148195,147935,147700,147146,146360,145503,144287,143555,142674,141935
42109,Snyder,42,328.7839718,123.0351948,40.4,0,0,0,0,0,0,0,0,38261,39400,39597,39620,39711,39922,40046,40246,40570,40466,40483,40452
42111,Somerset,42,1075.0457581,68.6891692,46.2,0,0,0,0,0,0,0,0,77710,78219,77946,77638,77341,77011,76617,76201,75619,74949,74361,73844
42113,Sullivan,42,449.9391168,13.4195934,54.5,0,0,0,0,0,0,0,0,6219,6467,6469,6453,6419,6400,6381,6302,6192,6177,6135,6038
42115,Susquehanna,42,823.4951845,49.3069064,48.7,0,0,0,0,0,0,0,0,41116,43343,43311,43171,42948,42708,42369,41832,41716,41340,40970,40604
42117,Tioga,42,1133.8907942,35.9461424,44.9,0,0,0,0,0,0,0,0,40828,41631,41850,42081,42267,42358,42284,42031,41550,41226,40944,40759
42119,Union,42,315.9522021,141.8917156,39.6,0,0,0,0,0,0,0,0,43424,44866,44872,44944,44932,44955,44958,45178,45056,45114,45111,44831
42121,Venango,42,674.2642898,76.1644963,47.4,0,0,0,0,0,0,0,0,54817,55320,55106,54865,54590,54265,53906,53460,52880,52376,51818,51355
42123,Warren,42,884.2814524,44.6305867,47.4,0,0,0,0,0,0,0,0,41025,41877,41771,41613,41429,41218,40962,40649,40345,40035,39756,39466
42125,Washington,42,857.0089661,241.6322445,44.5,0,0,0,0,0,0,0,0,206037,206987,207451,207916,208047,208157,208226,208269,207661,207547,207212,207081
42127,Wayne,42,725.7688369,70.639572,48.5,0,0,0,0,0,0,0,0,51233,52302,52477,52299,52212,51967,51642,51307,51656,51536,51422,51268
42129,Westmoreland,42,1027.7115912,341.2650037,47.2,0,0,0,0,0,0,0,0,363222,365841,365438,364877,364090,362587,361251,359377,356835,354751,352590,350722
42131,Wyoming,42,397.2501164,68.1636049,45.2,0,0,0,0,0,0,0,0,27882,28262,28333,28221,28177,28229,28147,27975,27760,27588,27327,27078
42133,York,42,904.3648709,494.9639403,41,0,0,0,0,0,0,0,0,419563,428175,431967,434579,436339,438052,439660,440604,442216,444014,445565,447628
44001,Bristol,44,24.1316654,2015.8161174,44.5,0,0,0,0,0,0,0,0,50022,50501,50264,49796,49426,49338,49176,49228,49028,48900,48764,48645
44003,Kent,44,168.5677447,973.6263621,43.8,0,0,0,0,0,0,0,0,169202,167235,166631,166066,165628,165253,164958,164886,164012,163861,163869,164122
44005,Newport,44,102.4304264,807.6799339,45.8,0,0,0,0,0,0,0,0,81693,83253,82765,82503,82545,82772,82663,82714,83204,83075,82801,82731
44007,Providence,44,409.4812965,1553.5776738,37.4,0,0,0,0,0,0,0,0,629400,628413,627362,627414,627469,629280,630459,631344,633704,634533,635737,636161
44009,Washington,44,329.2783258,383.0771421,45,0,0,0,0,0,0,0,0,127064,126987,126937,126692,126627,126609,126405,126319,126190,126242,126060,126139
50001,Addison,50,766.3307256,48.2128652,43.7,0,0,0,0,0,0,0,0,36659,36841,36835,36814,36811,36883,36943,36926,36825,36939,36882,36947
50003,Bennington,50,674.2359206,52.8731842,46.3,0,0,0,0,0,0,0,0,36466,37122,37093,36990,36871,36739,36589,36503,36054,35920,35746,35649
50005,Caledonia,50,649.2126082,46.2514123,45,0,0,0,0,0,0,0,0,30356,31214,31198,31170,31157,31109,31012,30859,30576,30425,30234,30027
50007,Chittenden,50,536.8489596,304.3947409,36.5,0,0,0,0,0,0,0,0,150924,154729,155666,156696,157637,158686,159711,160510,160985,162052,162646,163414
50009,Essex,50,662.3694354,9.3286309,51.4,0,0,0,0,0,0,0,0,6436,6359,6350,6316,6276,6231,6207,6173,6203,6208,6200,6179
50011,Franklin,50,630.9594361,78.0953532,40.5,0,0,0,0,0,0,0,0,47861,47547,47687,47853,48019,48226,48418,48625,48816,49025,49116,49275
50013,Grand Isle,50,81.7655968,86.5278342,48.7,0,0,0,0,0,0,0,0,7575,7105,7056,7032,6984,6979,6952,6945,6950,6965,7022,7075
50015,Lamoille,50,461.2542747,55.0152083,40.4,0,0,0,0,0,0,0,0,25253,24040,24234,24471,24670,24843,25027,25136,25191,25268,25318,25376
50017,Orange,50,687.0078031,42.0271791,46.7,0,0,0,0,0,0,0,0,28977,29059,29015,28980,28966,28927,28929,28897,28901,28937,28908,28873
50019,Orleans,50,694.5488454,38.6481097,46.1,0,0,0,0,0,0,0,0,27265,27256,27247,27198,27184,27160,27146,27076,26951,26911,26901,26843
50021,Rutland,50,930.5495523,62.8950923,47,0,0,0,0,0,0,0,0,63306,62278,61956,61599,61270,60864,60530,60133,59676,59273,58892,58527
50023,Washington,50,687.0594373,84.9067735,43.7,0,0,0,0,0,0,0,0,58788,59379,59426,59462,59427,59333,59132,58963,58691,58477,58350,58336
50025,Windham,50,785.9579717,54.2369968,47.2,0,0,0,0,0,0,0,0,43627,44438,44409,44310,44216,44050,43858,43609,43332,43150,42823,42628
50027,Windsor,50,969.1435013,56.9482228,48,0,0,0,0,0,0,0,0,56921,56891,56786,56607,56416,56328,56150,55894,55485,55427,55275,55191
